"","country","iso3","g.whoregion","row.rank.new","year.new","source.new","all.areas.covered.new","surv.quality.new","dst.rlt.new","mdr.new","mdr.new.pcnt","mdr.new.pcnt.lo","mdr.new.pcnt.hi","dr.r.nh.new","dr.r.nh.new.pcnt","dr.r.nh.new.pcnt.lo","dr.r.nh.new.pcnt.hi","xpert.new","xpert.dr.r.new","xpert.dr.r.new.pcnt","xpert.dr.r.new.pcnt.lo","xpert.dr.r.new.pcnt.hi","r.rlt.new","rr.new","rr.new.pcnt","rr.new.pcnt.lo","rr.new.pcnt.hi","dst.rlt.hr.new","dst.rlt.hr.new.pcnt","dst.rlt.hr.new.pcnt.lo","dst.rlt.hr.new.pcnt.hi","dst.rlt.rr.new","dst.rlt.rr.new.pcnt","dst.rlt.rr.new.pcnt.lo","dst.rlt.rr.new.pcnt.hi","dr.h.nr.new","dr.h.nr.new.pcnt","dr.h.nr.new.pcnt.lo","dr.h.nr.new.pcnt.hi"
"42","Australia","AUS","WPR",12,2010,"Surveillance",1,"A",868,21,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA
"43","Austria","AUT","EUR",1,2015,"Surveillance",1,"A",264,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
"44","Austria","AUT","EUR",2,2014,"Surveillance",1,"A",260,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
"45","Austria","AUT","EUR",3,2013,"Surveillance",1,"A",279,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"46","Austria","AUT","EUR",4,2012,"Surveillance",1,"A",254,9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
"47","Austria","AUT","EUR",5,2011,"Surveillance",1,"A",257,9,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
"48","Austria","AUT","EUR",6,2010,"Surveillance",1,"A",241,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
"49","Austria","AUT","EUR",7,2009,"Surveillance",1,"A",263,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"50","Austria","AUT","EUR",8,2008,"Surveillance",1,"A",439,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA
"51","Austria","AUT","EUR",9,2007,"Surveillance",1,"A",481,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA
"52","Austria","AUT","EUR",10,2006,"pre-2010 TME data collection",1,"A",500,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Austria","AUT","EUR",11,2005,"Surveillance",1,"A",570,11,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA
"54","Austria","AUT","EUR",12,2004,"Surveillance",1,"A",600,17,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA
"55","Austria","AUT","EUR",13,2003,"Surveillance",1,"A",554,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
"56","Austria","AUT","EUR",14,2002,"Surveillance",1,"A",633,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA
"57","Austria","AUT","EUR",15,2001,"Surveillance",1,"A",589,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
"58","Austria","AUT","EUR",16,2000,"Surveillance",1,"A",694,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
"59","Austria","AUT","EUR",17,1999,"Surveillance",1,"A",703,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
"60","Azerbaijan","AZE","EUR",1,2022,"Surveillance",1,"A",1644,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1671,199,NA,NA,NA,254,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA
"61","Azerbaijan","AZE","EUR",2,2021,"Surveillance",1,"A",1409,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1409,172,NA,NA,NA,205,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA
"62","Azerbaijan","AZE","EUR",3,2020,"Surveillance",1,"A",1162,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1245,149,NA,NA,NA,169,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA
"63","Azerbaijan","AZE","EUR",4,2019,"Surveillance",1,"A",1806,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,219,NA,NA,NA,225,NA,NA,NA,219,NA,NA,NA,NA,NA,NA,NA
