"","country","iso3","g.whoregion","row.rank","year","drs.record.type","all.areas.covered","area.desc","surv.quality","mdr.new","mdr.ret","mdr.unk","xpert.dr.r.new","xpert.dr.r.ret","rr.new","rr.ret","mdr.dst.rlt","mdr.ds.fq2li","mdr.dr.fq","mdr.dr.2li","xdr","rr.dst.rlt","rr.ds.fq2li","rr.dr.fq","rr.dr.2li","rr.dr.fq.2li","rr.dst.rlt.fq","rr.fqr","rr.fqr.pcnt","rr.fqr.pcnt.lo","rr.fqr.pcnt.hi","rs.hr.dst.rlt.fq","rs.hr.fqr.pcnt","rs.hr.fqr.pcnt.lo","rs.hr.fqr.pcnt.hi"
"120","Switzerland","CHE","EUR",2,2015,"Surveillance",1,NA,"A",7,4,NA,0,0,NA,NA,11,7,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Switzerland","CHE","EUR",3,2014,"Surveillance",1,NA,"A",5,4,2,0,0,NA,NA,11,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Switzerland","CHE","EUR",4,2013,"Surveillance",1,NA,"A",3,8,1,0,0,NA,NA,12,8,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Switzerland","CHE","EUR",5,2012,"Surveillance",1,NA,"A",3,4,1,0,0,NA,NA,8,7,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Switzerland","CHE","EUR",6,2011,"Surveillance",1,NA,"A",1,4,3,0,0,NA,NA,8,6,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Switzerland","CHE","EUR",7,2010,"Surveillance",1,NA,"A",1,3,5,NA,NA,NA,NA,9,8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Switzerland","CHE","EUR",8,2008,"Surveillance",1,NA,"A",3,1,1,NA,NA,NA,NA,5,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Chile","CHL","AMR",1,2022,"Surveillance",1,NA,"N",10,6,NA,NA,NA,35,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,NA,NA,NA,NA,NA,NA,NA
"128","Chile","CHL","AMR",2,2021,"Surveillance",1,NA,"A",22,4,NA,NA,NA,38,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,5,NA,NA,NA,NA,NA,NA,NA
"129","Chile","CHL","AMR",3,2020,"Surveillance",1,NA,"A",22,3,NA,NA,NA,35,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,NA,NA,NA,NA,NA,NA,NA
"130","Chile","CHL","AMR",4,2019,"Surveillance",1,NA,"A",20,7,NA,NA,NA,39,18,27,NA,NA,NA,2,NA,NA,NA,NA,NA,55,4,NA,NA,NA,NA,NA,NA,NA
"131","Chile","CHL","AMR",5,2018,"Surveillance",1,NA,"N",26,6,NA,NA,NA,42,14,32,NA,NA,NA,0,56,51,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Chile","CHL","AMR",6,2017,"Surveillance",1,NA,"A",18,1,NA,NA,NA,31,6,19,NA,NA,NA,0,37,36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Chile","CHL","AMR",7,2015,"Surveillance",1,NA,"A",9,5,NA,0,0,NA,NA,14,11,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Chile","CHL","AMR",8,2014,"Surveillance",1,NA,"A",14,1,0,0,0,NA,NA,15,13,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","China","CHN","WPR",1,2013,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,427,285,128,52,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Côte d'Ivoire","CIV","AFR",1,2017,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,48,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Democratic Republic of the Congo","COD","AFR",1,2017,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Cook Islands","COK","WPR",1,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Cook Islands","COK","WPR",2,2015,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Cook Islands","COK","WPR",3,2013,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Cook Islands","COK","WPR",4,2012,"Surveillance",1,NA,"A",0,1,0,0,0,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Comoros","COM","AFR",1,2021,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"143","Costa Rica","CRI","AMR",1,2019,"Surveillance",1,NA,"A",1,0,NA,NA,NA,1,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA
"144","Costa Rica","CRI","AMR",2,2018,"Surveillance",1,NA,"N",3,0,NA,NA,NA,7,0,3,NA,NA,NA,0,7,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Costa Rica","CRI","AMR",3,2017,"Surveillance",1,NA,"A",4,0,NA,NA,NA,4,0,4,NA,NA,NA,0,4,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Cuba","CUB","AMR",1,2012,"Surveillance",1,NA,"A",2,6,0,0,0,NA,NA,8,6,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Cuba","CUB","AMR",2,2011,"Surveillance",1,NA,"A",3,7,0,0,0,NA,NA,8,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Curaçao","CUW","AMR",1,2022,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"149","Curaçao","CUW","AMR",2,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Curaçao","CUW","AMR",3,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Curaçao","CUW","AMR",4,2014,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Curaçao","CUW","AMR",5,2013,"Surveillance",1,NA,"A",1,0,0,0,0,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Curaçao","CUW","AMR",6,2012,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Curaçao","CUW","AMR",7,2011,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Curaçao","CUW","AMR",8,2010,"Surveillance",1,NA,"A",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Cayman Islands","CYM","AMR",1,2022,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"157","Cayman Islands","CYM","AMR",2,2020,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"158","Cayman Islands","CYM","AMR",3,2018,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Cayman Islands","CYM","AMR",4,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Cayman Islands","CYM","AMR",5,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Cayman Islands","CYM","AMR",6,2013,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Cayman Islands","CYM","AMR",7,2012,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Cayman Islands","CYM","AMR",8,2011,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Cyprus","CYP","EUR",1,2022,"Surveillance",1,NA,"A",2,0,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA
"165","Cyprus","CYP","EUR",2,2021,"Surveillance",1,NA,"A",3,0,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA
"166","Cyprus","CYP","EUR",3,2020,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"167","Cyprus","CYP","EUR",4,2019,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"168","Cyprus","CYP","EUR",5,2013,"Surveillance",1,NA,"A",0,1,0,NA,NA,NA,NA,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Cyprus","CYP","EUR",6,2011,"Surveillance",1,NA,"A",1,0,0,NA,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Cyprus","CYP","EUR",7,2008,"Surveillance",1,NA,"A",0,1,0,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Czechia","CZE","EUR",1,2022,"Surveillance",1,NA,"N",15,1,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,NA,NA,NA,NA,NA,NA,NA
"172","Czechia","CZE","EUR",2,2018,"Surveillance",1,NA,"N",10,0,NA,NA,NA,10,0,10,NA,NA,NA,0,10,6,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Czechia","CZE","EUR",3,2015,"Surveillance",1,NA,"A",7,3,NA,NA,NA,NA,NA,8,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Czechia","CZE","EUR",4,2014,"Surveillance",1,NA,"A",3,2,0,NA,NA,NA,NA,5,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Czechia","CZE","EUR",5,2009,"Surveillance",1,NA,"A",5,3,0,NA,NA,NA,NA,7,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Czechia","CZE","EUR",6,2008,"Surveillance",1,NA,"A",10,1,NA,NA,NA,NA,NA,10,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Germany","DEU","EUR",1,2015,"Surveillance",1,NA,"A",6,32,NA,NA,NA,NA,NA,74,47,24,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Germany","DEU","EUR",2,2014,"Surveillance",1,NA,"A",8,22,53,NA,NA,NA,NA,54,33,14,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Djibouti","DJI","EMR",1,2015,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,0,34,28,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Dominica","DMA","AMR",1,2013,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Dominica","DMA","AMR",2,2011,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Denmark","DNK","EUR",1,2022,"Surveillance",1,NA,"A",5,0,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA
"183","Denmark","DNK","EUR",2,2021,"Surveillance",1,NA,"A",1,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"184","Denmark","DNK","EUR",3,2020,"Surveillance",1,NA,"A",1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA
"185","Denmark","DNK","EUR",4,2019,"Surveillance",1,NA,"A",3,0,NA,NA,NA,3,0,3,NA,NA,NA,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA
"186","Denmark","DNK","EUR",5,2018,"Surveillance",1,NA,"A",4,0,NA,NA,NA,4,0,4,NA,NA,NA,0,4,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Denmark","DNK","EUR",6,2017,"Surveillance",1,NA,"A",1,0,NA,NA,NA,1,0,1,NA,NA,NA,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Denmark","DNK","EUR",7,2015,"Surveillance",1,NA,"A",4,1,NA,NA,NA,NA,NA,5,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Denmark","DNK","EUR",8,2014,"Surveillance",1,NA,"A",1,0,0,NA,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Denmark","DNK","EUR",9,2013,"Surveillance",1,NA,"A",1,1,0,NA,NA,NA,NA,2,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Denmark","DNK","EUR",10,2012,"Surveillance",1,NA,"A",1,0,0,NA,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Denmark","DNK","EUR",11,2010,"Surveillance",1,NA,"A",2,0,0,NA,NA,NA,NA,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Denmark","DNK","EUR",12,2009,"Surveillance",1,NA,"A",1,1,0,NA,NA,NA,NA,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Denmark","DNK","EUR",13,2008,"Surveillance",1,NA,"A",0,0,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Egypt","EGY","EMR",1,2021,"Surveillance",1,NA,"A",23,8,NA,NA,NA,75,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,2,NA,NA,NA,NA,NA,NA,NA
"196","Egypt","EGY","EMR",2,2019,"Surveillance",1,NA,"N",7,54,NA,NA,NA,47,217,61,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"197","Eritrea","ERI","AFR",1,2019,"Surveillance",1,NA,"N",6,0,NA,NA,NA,16,1,6,NA,NA,NA,0,NA,NA,NA,NA,NA,17,0,NA,NA,NA,NA,NA,NA,NA
"198","Eritrea","ERI","AFR",2,2018,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0,14,7,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Spain","ESP","EUR",1,2015,"Surveillance",1,NA,"A",30,10,NA,NA,NA,NA,NA,38,31,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Estonia","EST","EUR",1,2022,"Surveillance",1,NA,"A",17,7,NA,NA,NA,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,7,NA,NA,NA,NA,NA,NA,NA
"201","Estonia","EST","EUR",2,2021,"Surveillance",1,NA,"A",14,9,NA,NA,NA,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,9,NA,NA,NA,NA,NA,NA,NA
"202","Estonia","EST","EUR",3,2020,"Surveillance",1,NA,"A",16,3,NA,NA,NA,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,6,NA,NA,NA,NA,NA,NA,NA
"203","Estonia","EST","EUR",4,2019,"Surveillance",1,NA,"A",17,10,NA,NA,NA,18,11,24,NA,NA,NA,4,NA,NA,NA,NA,NA,25,4,NA,NA,NA,NA,NA,NA,NA
"204","Estonia","EST","EUR",5,2018,"Surveillance",1,NA,"A",22,8,NA,NA,NA,23,10,30,NA,NA,NA,8,32,9,9,22,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Estonia","EST","EUR",6,2017,"Surveillance",1,NA,"A",26,10,NA,NA,NA,26,11,34,NA,NA,NA,9,35,10,10,24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Estonia","EST","EUR",7,2016,"Surveillance",1,NA,"A",17,6,NA,NA,NA,NA,NA,23,NA,NA,NA,7,25,7,7,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Estonia","EST","EUR",8,2015,"Surveillance",1,NA,"A",18,18,NA,NA,NA,NA,NA,35,7,13,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Estonia","EST","EUR",9,2014,"Surveillance",1,NA,"A",30,18,0,NA,NA,NA,NA,47,20,13,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Estonia","EST","EUR",10,2013,"Surveillance",1,NA,"A",29,21,0,NA,NA,NA,NA,49,24,19,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Estonia","EST","EUR",11,2012,"Surveillance",1,NA,"A",38,23,0,NA,NA,NA,NA,55,37,12,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Estonia","EST","EUR",12,2011,"Surveillance",1,NA,"A",48,30,0,NA,NA,NA,NA,75,37,21,32,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Estonia","EST","EUR",13,2010,"Surveillance",1,NA,"A",36,28,0,NA,NA,NA,NA,63,23,16,34,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Estonia","EST","EUR",14,2009,"Surveillance",1,NA,"A",54,31,0,NA,NA,NA,NA,79,47,21,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Estonia","EST","EUR",15,2008,"Surveillance",1,NA,"A",42,32,NA,NA,NA,NA,NA,72,NA,22,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Ethiopia","ETH","AFR",1,2018,"Surveillance",1,NA,"A",21,48,NA,NA,NA,257,484,69,NA,NA,NA,2,409,376,26,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Ethiopia","ETH","AFR",2,2018,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,0,37,31,1,5,0,37,NA,2.7,0.07,14.1,98,1.02,0.02,5.5
"217","Finland","FIN","EUR",1,2022,"Surveillance",1,NA,"N",7,1,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA
"218","Finland","FIN","EUR",2,2020,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"219","Finland","FIN","EUR",3,2018,"Surveillance",1,NA,"N",4,0,NA,NA,NA,4,0,4,NA,NA,NA,1,4,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Finland","FIN","EUR",4,2017,"Surveillance",1,NA,"A",4,1,NA,NA,NA,4,2,5,NA,NA,NA,1,6,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Finland","FIN","EUR",5,2016,"Surveillance",1,NA,"A",2,0,NA,NA,NA,NA,NA,3,NA,NA,NA,1,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Finland","FIN","EUR",6,2015,"Surveillance",1,NA,"A",7,0,NA,NA,NA,NA,NA,8,5,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Finland","FIN","EUR",7,2014,"Surveillance",1,NA,"A",4,1,0,NA,NA,NA,NA,5,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Finland","FIN","EUR",8,2013,"Surveillance",1,NA,"A",2,0,0,NA,NA,NA,NA,2,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Finland","FIN","EUR",9,2012,"Surveillance",1,NA,"A",3,0,0,NA,NA,NA,NA,3,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Fiji","FJI","WPR",1,2020,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"227","Fiji","FJI","WPR",2,2019,"Surveillance",1,NA,"A",NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA
"228","Fiji","FJI","WPR",3,2018,"Surveillance",1,NA,"A",0,0,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Fiji","FJI","WPR",4,2017,"Surveillance",1,NA,"A",0,1,NA,NA,NA,0,1,1,NA,NA,NA,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","France","FRA","EUR",1,2014,"Surveillance",1,NA,"A",25,30,17,NA,NA,NA,NA,70,21,32,28,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Micronesia (Federated States of)","FSM","WPR",1,2022,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"232","Micronesia (Federated States of)","FSM","WPR",2,2021,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"233","Micronesia (Federated States of)","FSM","WPR",3,2020,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"234","Micronesia (Federated States of)","FSM","WPR",4,2019,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"235","Micronesia (Federated States of)","FSM","WPR",5,2018,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",1,2021,"Surveillance",1,NA,"N",29,4,NA,NA,NA,33,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,13,NA,NA,NA,NA,NA,NA,NA
"237","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",2,2020,"Surveillance",1,NA,"N",23,2,NA,NA,NA,31,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,8,NA,NA,NA,NA,NA,NA,NA
"238","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",3,2019,"Surveillance",1,NA,"A",22,3,NA,NA,NA,27,4,23,NA,NA,NA,1,NA,NA,NA,NA,NA,29,5,NA,NA,NA,NA,NA,NA,NA
"239","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",4,2017,"Surveillance",1,NA,"A",24,4,NA,NA,NA,28,6,27,NA,NA,NA,3,31,21,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",5,2015,"Surveillance",1,NA,"A",27,5,NA,NA,NA,NA,NA,33,18,13,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",6,2014,"Surveillance",1,NA,"A",29,6,2,NA,NA,NA,NA,36,20,11,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",7,2013,"Surveillance",1,NA,"A",36,7,3,NA,NA,NA,NA,43,31,5,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",8,2012,"Surveillance",1,NA,"A",62,14,5,NA,NA,NA,NA,80,62,4,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",9,2011,"Surveillance",1,NA,"A",66,13,5,NA,NA,NA,NA,81,52,20,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","United Kingdom of Great Britain and Northern Ireland","GBR","EUR",10,2009,"Surveillance",1,NA,"A",41,11,10,NA,NA,NA,NA,55,48,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
