"","country","iso3","g.whoregion","row.rank","year","drs.record.type","all.areas.covered","area.desc","surv.quality","mdr.new","mdr.ret","mdr.unk","xpert.dr.r.new","xpert.dr.r.ret","rr.new","rr.ret","mdr.dst.rlt","mdr.ds.fq2li","mdr.dr.fq","mdr.dr.2li","xdr","rr.dst.rlt","rr.ds.fq2li","rr.dr.fq","rr.dr.2li","rr.dr.fq.2li","rr.dst.rlt.fq","rr.fqr","rr.fqr.pcnt","rr.fqr.pcnt.lo","rr.fqr.pcnt.hi","rs.hr.dst.rlt.fq","rs.hr.fqr.pcnt","rs.hr.fqr.pcnt.lo","rs.hr.fqr.pcnt.hi"
"22","Australia","AUS","WPR",3,2020,"Surveillance",1,NA,"N",10,3,NA,NA,NA,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,8,NA,NA,NA,NA,NA,NA,NA
"23","Australia","AUS","WPR",4,2019,"Surveillance",1,NA,"A",15,3,NA,NA,NA,17,3,6,NA,NA,NA,1,NA,NA,NA,NA,NA,19,3,NA,NA,NA,NA,NA,NA,NA
"24","Australia","AUS","WPR",5,2018,"Surveillance",1,NA,"A",21,4,NA,NA,NA,24,4,22,NA,NA,NA,1,23,18,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Australia","AUS","WPR",6,2017,"Surveillance",1,NA,"A",12,6,NA,NA,NA,13,6,16,NA,NA,NA,0,17,15,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Australia","AUS","WPR",7,2015,"Surveillance",1,NA,"A",15,6,NA,0,0,NA,NA,20,17,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Australia","AUS","WPR",8,2014,"Surveillance",1,NA,"A",11,4,0,NA,NA,NA,NA,15,13,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Australia","AUS","WPR",9,2013,"Surveillance",1,NA,"A",13,1,0,0,0,NA,NA,12,9,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Australia","AUS","WPR",10,2012,"Surveillance",1,NA,"A",16,2,0,0,0,NA,NA,18,15,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Australia","AUS","WPR",11,2011,"Surveillance",1,NA,"A",14,7,2,0,0,NA,NA,22,20,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Australia","AUS","WPR",12,2010,"Surveillance",1,NA,"A",21,11,1,NA,NA,NA,NA,32,31,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
