"","country","iso3","g.whoregion","row.rank.new","year.new","source.new","all.areas.covered.new","area.desc.new","surv.quality.new","dst.rlt.new","mdr.new","mdr.new.pcnt","mdr.new.pcnt.lo","mdr.new.pcnt.hi","dr.r.nh.new","dr.r.nh.new.pcnt","dr.r.nh.new.pcnt.lo","dr.r.nh.new.pcnt.hi","xpert.new","xpert.dr.r.new","xpert.dr.r.new.pcnt","xpert.dr.r.new.pcnt.lo","xpert.dr.r.new.pcnt.hi","r.rlt.new","rr.new","rr.new.pcnt","rr.new.pcnt.lo","rr.new.pcnt.hi","dst.rlt.hr.new","dst.rlt.hr.new.pcnt","dst.rlt.hr.new.pcnt.lo","dst.rlt.hr.new.pcnt.hi","dst.rlt.rr.new","dst.rlt.rr.new.pcnt","dst.rlt.rr.new.pcnt.lo","dst.rlt.rr.new.pcnt.hi","dr.h.nr.new","dr.h.nr.new.pcnt","dr.h.nr.new.pcnt.lo","dr.h.nr.new.pcnt.hi"
"39","American Samoa","ASM","WPR",1,2020,"Surveillance",1,NA,"N",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"40","American Samoa","ASM","WPR",2,2019,"Surveillance",1,NA,"N",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"41","Australia","AUS","WPR",1,2022,"Surveillance",1,NA,"N",591,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594,17,NA,NA,NA,57,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"42","Australia","AUS","WPR",2,2021,"Surveillance",1,NA,"N",597,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,9,NA,NA,NA,47,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"43","Australia","AUS","WPR",3,2020,"Surveillance",1,NA,"N",729,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,14,NA,NA,NA,64,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
"44","Australia","AUS","WPR",4,2019,"Surveillance",1,NA,"A",700,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,17,NA,NA,NA,75,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"45","Australia","AUS","WPR",5,2018,"Surveillance",1,NA,"A",712,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712,24,NA,NA,NA,62,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"46","Australia","AUS","WPR",6,2017,"Surveillance",1,NA,"A",669,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,13,NA,NA,NA,58,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
"47","Australia","AUS","WPR",7,2015,"Surveillance",1,NA,"A",585,15,NA,NA,NA,6,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA
"48","Australia","AUS","WPR",8,2014,"Surveillance",1,NA,"A",642,11,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA
